year,constructor,avg_pit_duration
2012,caterham,0.0
2012,ferrari,0.0
2012,force-india,0.0
2012,hrt,0.0
2012,lotus-f1,0.0
2012,marussia,0.0
2012,mclaren,0.0
2012,mercedes,0.0
2012,red-bull,0.0
2012,sauber,0.0
2012,toro-rosso,0.0
2012,williams,0.0
2013,caterham,0.0
2013,ferrari,0.0
2013,force-india,0.0
2013,lotus-f1,0.0
2013,marussia,0.0
2013,mclaren,0.0
2013,mercedes,0.0
2013,red-bull,0.0
2013,sauber,0.0
2013,toro-rosso,0.0
2013,williams,0.0
2014,caterham,0.0
2014,ferrari,0.0
2014,force-india,0.0
2014,lotus-f1,0.0
2014,marussia,0.0
2014,mclaren,0.0
2014,mercedes,0.0
2014,red-bull,0.0
2014,sauber,0.0
2014,toro-rosso,0.0
2014,williams,0.0
2015,ferrari,0.0
2015,force-india,0.0
2015,lotus-f1,0.0
2015,marussia,0.0
2015,mclaren,0.0
2015,mercedes,0.0
2015,red-bull,0.0
2015,sauber,0.0
2015,toro-rosso,0.0
2015,williams,0.0
2016,ferrari,0.0
2016,force-india,0.0
2016,haas,0.0
2016,manor,0.0
2016,mclaren,0.0
2016,mercedes,0.0
2016,red-bull,0.0
2016,renault,0.0
2016,sauber,0.0
2016,toro-rosso,0.0
2016,williams,0.0
2017,ferrari,0.0
2017,force-india,0.0
2017,haas,0.0
2017,mclaren,0.0
2017,mercedes,0.0
2017,red-bull,0.0
2017,renault,0.0
2017,sauber,0.0
2017,toro-rosso,0.0
2017,williams,0.0
2018,ferrari,0.0
2018,force-india,0.0
2018,haas,0.0
2018,mclaren,0.0
2018,mercedes,0.0
2018,red-bull,0.0
2018,renault,0.0
2018,sauber,0.0
2018,toro-rosso,0.0
2018,williams,0.0
2019,alfa-romeo,0.0
2019,ferrari,0.0
2019,haas,0.0
2019,mclaren,0.0
2019,mercedes,0.0
2019,racing-point,0.0
2019,red-bull,0.0
2019,renault,0.0
2019,toro-rosso,0.0
2019,williams,0.0
2020,alfa-romeo,0.0
2020,alphatauri,0.0
2020,ferrari,0.0
2020,haas,0.0
2020,mclaren,0.0
2020,mercedes,0.0
2020,racing-point,0.0
2020,red-bull,0.0
2020,renault,0.0
2020,williams,0.0
2021,alfa-romeo,0.0
2021,alphatauri,0.0
2021,alpine,0.0
2021,aston-martin,0.0
2021,ferrari,0.0
2021,haas,0.0
2021,mclaren,0.0
2021,mercedes,0.0
2021,red-bull,0.0
2021,williams,0.0
2022,alfa-romeo,0.0
2022,alphatauri,0.0
2022,alpine,0.0
2022,aston-martin,0.0
2022,ferrari,0.0
2022,haas,0.0
2022,mclaren,0.0
2022,mercedes,0.0
2022,red-bull,0.0
2022,williams,0.0
2023,alfa-romeo,0.0
2023,alphatauri,0.0
2023,alpine,0.0
2023,aston-martin,0.0
2023,ferrari,0.0
2023,haas,0.0
2023,mclaren,0.0
2023,mercedes,0.0
2023,red-bull,0.0
2023,williams,0.0
2024,alpine,0.0
2024,aston-martin,0.0
2024,ferrari,0.0
2024,haas,0.0
2024,kick-sauber,0.0
2024,mclaren,0.0
2024,mercedes,0.0
2024,rb,0.0
2024,red-bull,0.0
2024,williams,0.0
2025,alpine,0.0
2025,aston-martin,0.0
2025,ferrari,0.0
2025,haas,0.0
2025,kick-sauber,0.0
2025,mclaren,0.0
2025,mercedes,0.0
2025,racing-bulls,0.0
2025,red-bull,0.0
2025,williams,0.0
