countryId,id,name
taiwan,acer,Acer
italy,alfa-romeo,Alfa Romeo
united-kingdom,alta,Alta
united-kingdom,arrows,Arrows
france,asiatech,Asiatech
united-kingdom,aston-martin,Aston Martin
italy,ats,ATS
germany,bmw,BMW
germany,borgward,Borgward
italy,bpm,BPM
united-kingdom,bristol,Bristol
united-kingdom,brm,BRM
france,bugatti,Bugatti
united-kingdom,butterworth,Butterworth
austria,bwt-mercedes,BWT Mercedes
italy,castellotti,Castellotti
united-kingdom,climax,Climax
united-kingdom,cosworth,Cosworth
united-states-of-america,cummins,Cummins
italy,de-tomaso,De Tomaso
germany,emw,EMW
united-kingdom,era,ERA
united-kingdom,european,European
italy,ferrari,Ferrari
italy,fondmetal,Fondmetal
united-states-of-america,ford,Ford
france,gordini,Gordini
united-kingdom,hart,Hart
japan,honda-rbpt,Honda RBPT
japan,honda,Honda
united-kingdom,ilmor,Ilmor
united-kingdom,jaguar,Jaguar
united-kingdom,jap,JAP
united-kingdom,judd,Judd
germany,kuchen,Küchen
italy,lamborghini,Lamborghini
italy,lancia,Lancia
united-kingdom,lea-francis,Lea Francis
italy,life,Life
italy,maserati,Maserati
france,matra,Matra
france,mecachrome,Mecachrome
germany,megatron,Megatron
germany,mercedes,Mercedes
italy,milano,Milano
italy,motori-moderni,Motori Moderni
japan,mugen-honda,Mugen-Honda
united-states-of-america,novi,Novi
united-states-of-america,offenhauser,Offenhauser
italy,osca,OSCA
italy,osella,Osella
malaysia,petronas,Petronas
france,peugeot,Peugeot
italy,plate,Platé
italy,playlife,Playlife
germany,porsche,Porsche
united-states-of-america,pratt-whitney,Pratt & Whitney
japan,rbpt,RBPT
france,renault,Renault
australia,repco,Repco
switzerland,sauber,Sauber
united-states-of-america,scarab,Scarab
italy,serenissima,Serenissima
japan,subaru,Subaru
netherlands,supertec,Supertec
switzerland,tag-heuer,TAG Heuer
luxembourg,tag,TAG
france,talbot-lago,Talbot-Lago
italy,tecno,Tecno
italy,toro-rosso,Toro Rosso
japan,toyota,Toyota
united-kingdom,vanwall,Vanwall
germany,veritas,Veritas
united-kingdom,weslake,Weslake
japan,yamaha,Yamaha
germany,zakspeed,Zakspeed
